C,S,Chiral_Centers,Mol_Weight,Formula
C00143,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2,1,457.4399,C20H23N7O6
C00144,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,4,363.2206,C10H14N5O8P
C00145,*S,0,0.0,HSR
C00146,Oc1ccccc1,0,94.1112,C6H6O
C00147,Nc1ncnc2[nH]cnc12,0,135.1267,C5H5N5
C00148,O=C(O)[C@@H]1CCCN1,1,115.1305,C5H9NO2
C00149,O=C(O)C[C@H](O)C(=O)O,1,134.0874,C4H6O5
C00150,[Mo],0,95.94,Mo
C00151,*[C@H](N)C(=O)O,1,0.0,C2H4NO2R
C00152,NC(=O)C[C@H](N)C(=O)O,1,132.1179,C4H8N2O3
C00153,NC(=O)c1cccnc1,0,122.1246,C6H6N2O
C00154,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,5,1005.9429,C37H66N7O17P3S
C00155,N[C@@H](CCS)C(=O)O,1,135.1848,C4H9NO2S
C00156,O=C(O)c1ccc(O)cc1,0,138.1207,C7H6O3
C00157,*C(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(*)=O,0,0.0,C10H18NO8PR2
C00158,O=C(O)CC(O)(CC(=O)O)C(=O)O,0,192.1235,C6H8O7
C00159,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,4,180.1559,C6H12O6
C00160,O=C(O)CO,0,76.0514,C2H4O3
C00161,*C(=O)C(=O)O,0,0.0,C2HO3R
C00162,*C(=O)O,0,0.0,CHO2R
C00163,CCC(=O)O,0,74.0785,C3H6O2
C00164,CC(=O)CC(=O)O,0,102.0886,C4H6O3
C00165,*C(=O)OCC(CO)OC(*)=O,0,0.0,C5H6O5R2
C00166,O=C(O)C(=O)Cc1ccccc1,0,164.158,C9H8O3
C00167,O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,9,580.2853,C15H22N2O18P2
C00168,O=C(O)C(=O)CO,0,104.0615,C3H4O4
C00169,NC(=O)OP(=O)(O)O,0,141.0199,CH4NO5P
C00170,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,4,297.3335,C11H15N5O3S
C00171,*[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,4,0.0,C5H10O7PR
C00172,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,12,0.0,C10H19O16P3R2(C5H8O6PR)n
C00173,*CCC(=O)S*,0,0.0,C3H4OSR2
C00175,[Co+2],0,58.9332,Co
C00176,*n1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,0,0.0,C12H9N4O2R
C00177,[C-]#N,0,26.0174,CN
C00178,Cc1c[nH]c(=O)[nH]c1=O,0,126.1133,C5H6N2O2
C00179,N=C(N)NCCCCN,0,130.1915,C5H14N4
C00180,O=C(O)c1ccccc1,0,122.1213,C7H6O2
C00181,OC1OC[C@@H](O)[C@H](O)[C@H]1O,3,150.1299,C5H10O5
C00182,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,20,666.5777,C24H42O21
C00183,CC(C)[C@H](N)C(=O)O,1,117.1463,C5H11NO2
C00184,O=C(CO)CO,0,90.0779,C3H6O3
C00185,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,9,342.2965,C12H22O11
C00186,C[C@H](O)C(=O)O,1,90.0779,C3H6O3
C00187,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,8,386.6535,C27H46O
C00188,C[C@@H](O)[C@H](N)C(=O)O,2,119.1192,C4H9NO3
C00189,NCCO,0,61.0831,C2H7NO
C00190,O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,7,536.2758,C14H22N2O16P2
C00191,O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,4,194.1394,C6H10O7
C00192,NO,0,33.0299,NH3O
C00193,O=Cc1ccccc1,0,106.1219,C7H6O
C00194,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N([Co+]C[C@H]5O[C@@H](n6cnc7c(N)ncnc76)[C@H](O)[C@@H]5O)C([C@H](CC(N)=O)[C@@]4(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]4[C@@H](CO)O[C@H](n5cnc6cc(C)c(C)cc65)[C@@H]4O)[C@]4(C)N=C1[C@@H](CCC(N)=O)[C@]4(C)CC(N)=O)[C@@H](CCC(N)=O)C3(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,17,1579.5818,C72H100CoN18O17P
C00195,*C(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC,2,0.0,C19H36NO3R
C00196,O=C(O)c1cccc(O)c1O,0,154.1201,C7H6O4
C00197,O=C(O)[C@H](O)COP(=O)(O)O,1,186.0572,C3H7O7P
C00198,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,4,178.14,C6H10O6
